,Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description
8839,SATICOY                      ST,TAMPA                        AV,34.2084,-118.5535,12/22/2020 12:00:00 AM,12/21/2020 12:00:00 AM,2340.0,10.0,West Valley,1001.0,1.0,0400 0446 1822 0416 0334 1420,36.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other
14621,300    CULVER                       BL,,33.9594,-118.4478,05/09/2020 12:00:00 AM,05/09/2020 12:00:00 AM,717.0,14.0,Pacific,1472.0,2.0,0329,0.0,X,X,710.0,OTHER PREMISE,,,IC,Invest Cont
19903,ROSCOE,CANOGA,34.2198,-118.5975,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,1900.0,21.0,Topanga,2105.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
8502,200    OCEAN FRONT                  WK,,33.9933,-118.4765,07/25/2020 12:00:00 AM,07/12/2020 12:00:00 AM,2100.0,14.0,Pacific,1412.0,1.0,0329 1214,71.0,M,W,101.0,STREET,,,IC,Invest Cont
17755,HOLLYWOOD,BERENDO,34.1018,-118.2945,09/26/2020 12:00:00 AM,09/26/2020 12:00:00 AM,1900.0,11.0,Northeast,1151.0,2.0,2004 0400 0421 0416 0417 0444 0429 1822,61.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
3724,MALCOLM                      AV,MASSACHUSETTS,34.0521,-118.4372,04/14/2020 12:00:00 AM,04/13/2020 12:00:00 AM,10.0,8.0,West LA,855.0,1.0,1501,41.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont
14903,5600 S  HOOVER                       ST,,33.991,-118.2871,11/23/2020 12:00:00 AM,11/23/2020 12:00:00 AM,2100.0,12.0,77th Street,1218.0,2.0,0913 0400 0416 0429 1814 2000,48.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
19626,SAN FERNANDO                 RD,BROMWICH                     ST,34.252,-118.4072,10/17/2020 12:00:00 AM,10/16/2020 12:00:00 AM,2300.0,16.0,Foothill,1653.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
16289,3300    BARHAM                       BL,,34.1309,-118.3452,11/29/2020 12:00:00 AM,11/29/2020 12:00:00 AM,40.0,6.0,Hollywood,615.0,2.0,0344 2000 0416,35.0,F,W,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont
19737,1000 W  38TH                         ST,,34.0168,-118.2915,01/15/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1300.0,3.0,Southwest,379.0,1.0,0344 0385 1300 1606,41.0,F,H,101.0,STREET,,,IC,Invest Cont
3778,CANTERBURY,RANGOON,34.2295,-118.4244,06/16/2020 12:00:00 AM,06/15/2020 12:00:00 AM,2215.0,19.0,Mission,1988.0,1.0,0302 0421 0432 1402 2004 1822 0446,36.0,M,H,101.0,STREET,112.0,TOY GUN,AA,Adult Arrest
16422,7100    BELLAIRE                     AV,,34.1973,-118.4116,06/03/2020 12:00:00 AM,06/02/2020 12:00:00 AM,1630.0,15.0,N Hollywood,1512.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont
14858,82ND                         ST,FIGUEROA                     ST,33.9643,-118.2827,08/24/2020 12:00:00 AM,08/24/2020 12:00:00 AM,2105.0,12.0,77th Street,1267.0,2.0,1402 1419 1407 1100 0216 0345 0334 0906 1816 1809,0.0,X,X,101.0,STREET,101.0,REVOLVER,IC,Invest Cont
1790,1800 W  SLAUSON                      AV,,33.9891,-118.3097,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,1645.0,12.0,77th Street,1233.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont
14228,300 E  76TH                         ST,,33.9713,-118.2696,10/02/2020 12:00:00 AM,10/01/2020 12:00:00 AM,1500.0,12.0,77th Street,1259.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont
15524,1400 E  42ND                         ST,,34.0068,-118.2491,09/05/2020 12:00:00 AM,09/05/2020 12:00:00 AM,815.0,13.0,Newton,1346.0,2.0,0603,49.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont
