Location,Cross_Street,Latitude,Longitude,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Year_Reported,Year_Occurred,Month_Reported,Month_Occurred,Day_Reported,Day_Occurred
CAMULOS,8TH,34.0257,-118.2139,2355.0,4.0,Hollenbeck,487.0,1.0,0337 0334 0344,25.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,2020,2020,1,1,6,5
500    GALLARDO                     ST,,34.0588,-118.2221,1230.0,4.0,Hollenbeck,441.0,2.0,0444 0913,29.0,M,O,104.0,DRIVEWAY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,11,11,11,11
00    20TH                         AV,,33.985,-118.4714,1425.0,14.0,Pacific,1431.0,1.0,0344 1606,24.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,2,2
700 N  EL CENTRO                    AV,,34.0835,-118.3245,1300.0,6.0,Hollywood,676.0,1.0,1822 0344 0329 1300,50.0,F,W,707.0,GARAGE/CARPORT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,5,4,5,3
8000    VINELAND                     AV,,34.2157,-118.3703,1725.0,16.0,Foothill,1687.0,1.0,0344,31.0,F,W,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,6,4
800    BEACON                       AV,,34.0521,-118.2738,1200.0,2.0,Rampart,266.0,2.0,2000 1814 0416 0446 1202,75.0,M,H,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,11,11,23,23
2000    REDCLIFF                     ST,,34.0953,-118.2697,1548.0,11.0,Northeast,1144.0,1.0,1221 0352 0349 0394,46.0,F,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,24,21
MARTIN LUTHER KING JR,4TH                          AV,34.0108,-118.3214,1100.0,3.0,Southwest,374.0,1.0,1822 0342 0910 2049 2051 0305 0444 0344,43.0,F,O,801.0,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,6,6,12,12
19700    RINALDI                      ST,,34.2748,-118.5649,1855.0,17.0,Devonshire,1701.0,1.0,0378 0325 0209,0.0,Unknown,X,235.0,PHARMACY INSIDE STORE OR SUPERMARKET*,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,18,15
8800    CASHIO                       ST,,34.0522,-118.3841,1025.0,8.0,West LA,858.0,2.0,0701 1822,30.0,F,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,21,20
