,Crime_Category
8839,Crimes against Public Order
14621,Property Crimes
19903,Property Crimes
8502,Property Crimes
17755,Crimes against Public Order
3724,Property Crimes
14903,Violent Crimes
19626,Property Crimes
16289,Violent Crimes
19737,Property Crimes
3778,Violent Crimes
16422,Property Crimes
14858,Crimes against Public Order
1790,Property Crimes
14228,Property Crimes
15524,Other Crimes
17442,Violent Crimes
18736,Property Crimes
1908,Property Crimes
14714,Property Crimes
11227,Crimes against Public Order
11907,Fraud and White-Collar Crimes
14719,Crimes against Public Order
12629,Crimes against Public Order
16606,Violent Crimes
447,Property Crimes
14681,Violent Crimes
6259,Property Crimes
1999,Property Crimes
11662,Property Crimes
16781,Property Crimes
9157,Crimes against Persons
16447,Fraud and White-Collar Crimes
433,Property Crimes
5042,Property Crimes
5394,Property Crimes
10013,Property Crimes
3519,Property Crimes
177,Property Crimes
15910,Property Crimes
14407,Violent Crimes
2653,Property Crimes
9854,Property Crimes
16787,Crimes against Public Order
8630,Violent Crimes
6440,Violent Crimes
2046,Violent Crimes
18664,Property Crimes
10324,Property Crimes
5912,Violent Crimes
822,Violent Crimes
19012,Violent Crimes
12346,Property Crimes
4536,Property Crimes
13301,Property Crimes
17895,Crimes against Public Order
9173,Property Crimes
10931,Violent Crimes
18968,Property Crimes
6847,Property Crimes
11513,Property Crimes
13351,Violent Crimes
4166,Property Crimes
5075,Property Crimes
5953,Property Crimes
16795,Property Crimes
6314,Property Crimes
9760,Property Crimes
4065,Property Crimes
16240,Property Crimes
7582,Property Crimes
1591,Property Crimes
9130,Property Crimes
14533,Property Crimes
11379,Violent Crimes
14416,Property Crimes
17215,Fraud and White-Collar Crimes
7934,Property Crimes
14590,Violent Crimes
10337,Property Crimes
8946,Property Crimes
13958,Property Crimes
2759,Violent Crimes
9040,Violent Crimes
14625,Violent Crimes
9222,Property Crimes
9147,Property Crimes
8173,Crimes against Public Order
13750,Property Crimes
11991,Fraud and White-Collar Crimes
4609,Crimes against Public Order
17702,Property Crimes
12277,Property Crimes
13966,Fraud and White-Collar Crimes
4365,Property Crimes
9138,Property Crimes
15682,Property Crimes
459,Property Crimes
12204,Property Crimes
4736,Violent Crimes
8250,Property Crimes
7105,Property Crimes
14605,Property Crimes
1013,Property Crimes
15550,Crimes against Public Order
16236,Violent Crimes
10152,Property Crimes
14349,Property Crimes
825,Crimes against Public Order
48,Crimes against Public Order
7535,Violent Crimes
14177,Property Crimes
17482,Property Crimes
19751,Crimes against Public Order
18541,Crimes against Public Order
15442,Property Crimes
5110,Property Crimes
14086,Crimes against Public Order
15838,Violent Crimes
10574,Violent Crimes
12765,Violent Crimes
15351,Property Crimes
11630,Crimes against Public Order
12757,Violent Crimes
5803,Violent Crimes
5417,Property Crimes
9028,Violent Crimes
2004,Crimes against Public Order
1354,Crimes against Public Order
10255,Fraud and White-Collar Crimes
2510,Other Crimes
11679,Property Crimes
5347,Violent Crimes
17343,Violent Crimes
15561,Fraud and White-Collar Crimes
1142,Property Crimes
13298,Property Crimes
17558,Fraud and White-Collar Crimes
8263,Property Crimes
9270,Property Crimes
9957,Property Crimes
17004,Violent Crimes
6267,Property Crimes
15537,Violent Crimes
12160,Property Crimes
9424,Violent Crimes
4658,Property Crimes
12,Property Crimes
18491,Crimes against Public Order
17767,Property Crimes
8838,Property Crimes
17983,Violent Crimes
3422,Violent Crimes
10841,Property Crimes
14924,Property Crimes
1530,Fraud and White-Collar Crimes
12957,Property Crimes
12437,Property Crimes
2973,Violent Crimes
5928,Violent Crimes
18579,Property Crimes
7379,Violent Crimes
6461,Property Crimes
6125,Fraud and White-Collar Crimes
13610,Property Crimes
267,Property Crimes
7373,Property Crimes
7580,Violent Crimes
30,Fraud and White-Collar Crimes
7388,Property Crimes
4081,Violent Crimes
15968,Property Crimes
16515,Fraud and White-Collar Crimes
1029,Crimes against Public Order
9172,Property Crimes
8588,Violent Crimes
583,Property Crimes
15577,Property Crimes
18056,Violent Crimes
14708,Property Crimes
901,Violent Crimes
8662,Property Crimes
15768,Property Crimes
358,Violent Crimes
14059,Property Crimes
13948,Violent Crimes
2495,Violent Crimes
1604,Fraud and White-Collar Crimes
2169,Property Crimes
3747,Crimes against Public Order
4373,Violent Crimes
1694,Property Crimes
6144,Property Crimes
1421,Property Crimes
4047,Property Crimes
19330,Crimes against Public Order
4289,Property Crimes
15340,Property Crimes
3049,Property Crimes
17653,Property Crimes
13253,Property Crimes
15136,Property Crimes
9984,Property Crimes
9805,Property Crimes
16159,Violent Crimes
16560,Property Crimes
11159,Property Crimes
6984,Property Crimes
9860,Property Crimes
10107,Property Crimes
4563,Property Crimes
8517,Property Crimes
18945,Property Crimes
330,Property Crimes
1757,Property Crimes
19276,Property Crimes
9725,Crimes against Public Order
7784,Property Crimes
12752,Property Crimes
10086,Property Crimes
10790,Property Crimes
205,Fraud and White-Collar Crimes
1835,Property Crimes
7954,Violent Crimes
2754,Other Crimes
6352,Property Crimes
19416,Violent Crimes
8725,Property Crimes
5567,Property Crimes
8486,Property Crimes
16958,Property Crimes
19396,Property Crimes
15480,Property Crimes
18595,Violent Crimes
11389,Other Crimes
187,Property Crimes
14033,Property Crimes
12810,Property Crimes
13628,Violent Crimes
3044,Property Crimes
13239,Property Crimes
15727,Property Crimes
5694,Property Crimes
16118,Property Crimes
